"id","user_id","start_date","duration_weeks","goal_1","goal_2","goal_3","goal_weight_1","goal_weight_2","goal_weight_3","split_template","days_per_week","progression_style","hybrid_definition","disciplines_json","deload_every_n_microcycles","persona_tone","persona_aggression","is_active","created_at","is_template","visibility","name","macro_cycle_id","max_session_duration"
"20","1","2026-01-16","12","STRENGTH","ENDURANCE","HYPERTROPHY","5","5","0","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 6}, {'discipline': 'calisthenics', 'weight': 4}]","4","SUPPORTIVE","BALANCED","False","2026-01-16 09:43:28.474902","False","PRIVATE","","","60"
"21","1","2026-01-16","12","STRENGTH","ENDURANCE","SPEED","4","4","2","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 3}, {'discipline': 'calisthenics', 'weight': 3}, {'discipline': 'powerlifting', 'weight': 4}]","4","SUPPORTIVE","BALANCED","False","2026-01-16 11:36:35.375190","False","PRIVATE","","","60"
"22","1","2026-01-16","12","EXPLOSIVENESS","MOBILITY","ENDURANCE","3","2","5","FULL_BODY","4","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 6}, {'discipline': 'athletic_drills', 'weight': 2}, {'discipline': 'olympic_lifting', 'weight': 2}]","4","SUPPORTIVE","BALANCED","False","2026-01-16 20:40:07.584259","False","PRIVATE","","","60"
"23","1","2026-01-16","12","STRENGTH","ENDURANCE","EXPLOSIVENESS","1","6","3","FULL_BODY","4","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 6}, {'discipline': 'calisthenics', 'weight': 3}, {'discipline': 'bodybuilding', 'weight': 1}]","4","SUPPORTIVE","BALANCED","False","2026-01-16 20:42:48.812186","False","PRIVATE","","","60"
"37","1","2026-01-19","12","STRENGTH","ENDURANCE","HYPERTROPHY","5","5","0","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-18 23:39:13.794370","False","PRIVATE","","","60"
"38","1","2026-01-19","12","STRENGTH","ENDURANCE","MOBILITY","3","4","3","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-18 23:39:35.915357","False","PRIVATE","","","60"
"39","1","2026-01-19","12","STRENGTH","ENDURANCE","MOBILITY","3","4","3","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-18 23:42:00.559396","False","PRIVATE","","","60"
"40","1","2026-01-19","12","STRENGTH","ENDURANCE","MOBILITY","3","5","2","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-18 23:46:51.634311","False","PRIVATE","","","60"
"41","1","2026-01-20","12","FAT_LOSS","STRENGTH","HYPERTROPHY","5","5","0","FULL_BODY","4","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 3}, {'discipline': 'calisthenics', 'weight': 7}]","4","SUPPORTIVE","BALANCED","False","2026-01-19 23:56:40.481058","False","PRIVATE","","","60"
"42","1","2026-01-20","12","ENDURANCE","FAT_LOSS","STRENGTH","5","5","0","FULL_BODY","4","DOUBLE_PROGRESSION","","[{'discipline': 'calisthenics', 'weight': 7}, {'discipline': 'crossfit', 'weight': 3}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 00:00:34.095637","False","PRIVATE","","","60"
"47","1","2026-01-20","8","HYPERTROPHY","STRENGTH","ENDURANCE","5","5","0","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 01:29:33.777436","False","PRIVATE","Test Program","","60"
"54","1","2026-01-20","12","STRENGTH","HYPERTROPHY","ENDURANCE","5","3","2","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'powerlifting', 'weight': 5}, {'discipline': 'bodybuilding', 'weight': 5}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 10:44:22.220348","False","PRIVATE","Reproduction Program","","60"
"56","1","2026-01-20","12","STRENGTH","HYPERTROPHY","ENDURANCE","5","3","2","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'powerlifting', 'weight': 5}, {'discipline': 'bodybuilding', 'weight': 5}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 10:45:50.229622","False","PRIVATE","Reproduction Program","","60"
"48","1","2026-01-20","8","HYPERTROPHY","STRENGTH","ENDURANCE","5","5","0","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 01:30:43.107307","False","PRIVATE","Test Program","","60"
"57","1","2026-01-20","12","STRENGTH","ENDURANCE","HYPERTROPHY","4","6","0","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 10:47:09.794275","False","PRIVATE","","","60"
"58","1","2026-01-20","12","STRENGTH","ENDURANCE","HYPERTROPHY","5","5","0","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 11:48:54.367446","False","PRIVATE","","","60"
"59","1","2026-01-20","12","ENDURANCE","MOBILITY","STRENGTH","5","3","2","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","DRILL_SERGEANT","BALANCED","False","2026-01-20 12:50:26.438266","False","PRIVATE","","","60"
