name,pattern,fatigue,stimulus,risk,recovery
Candlestick Rocks,conditioning,0.6,0.8,0.4,48
Deadlifts,hinge,0.6,0.8,0.4,48
Double-Unders,plyometric,0.6,0.8,0.4,48
Dumbbell Bench Presses,vertical_push,0.6,0.8,0.4,48
Dumbbell Thrusters,squat,0.6,0.8,0.4,48
Foot Handstand Walk,vertical_push,0.6,0.8,0.4,48
Jumping Lunges,conditioning,0.6,0.8,0.4,48
Jumping Squats,squat,0.6,0.8,0.4,48
Run,cardio,0.6,0.8,0.4,48
Handstand Hold,vertical_push,0.6,0.8,0.4,48
Single-Leg Squats,squat,0.6,0.8,0.4,48
Sit-Ups,conditioning,0.6,0.8,0.4,48
Thrusters,squat,0.6,0.8,0.4,48
Toes-To-Bars,conditioning,0.6,0.8,0.4,48
Wall Walk,conditioning,0.6,0.8,0.4,48
Wall-Ball Shots,squat,0.6,0.8,0.4,48
